document_id,verb_type,verb,coreference_type,context,pronominalization
wb/c2e/00/c2e_0029,object_biased,comfort,object,"I comforted him first and asked my friend to rush me to the hospital .//My neighbor showed me the police report at the hospital , which indicated it was all my neighbor 's fault .",non pronoun
wb/c2e/00/c2e_0029,subject_biased,call,other,"The next day , my neighbor called me , saying his father needed to undergo an operation in hospital and asked where the money would come from//I told him part would be covered by my car insurance .",other
tc/ch/00/ch_0039,subject_biased,call,object,"So I called this woman today//and %um , she 's a dressmaker",pronoun
tc/ch/00/ch_0029,subject_biased,call,other,"She called mom to talk to mom//let 's see she bought ,",other
tc/ch/00/ch_0049,object_biased,pick,subject,"but I can pick you up th- ,//you know I 'll probably be there some time around six",pronoun
tc/ch/00/ch_0049,subject_biased,call,other,"or maybe I 'll just call you when we get in Holland just to let you know we 're there ,//so if we get in the eighteenth or the nineteenth and then call you back %um when we get to a hotel or something like that .",other
tc/ch/00/ch_0049,subject_biased,call,other,"as soon as you get into Holland and get yourself settled you can call me//and %uh if it 's at night , just call Anya 's parents",other
pt/nt/66/nt_6619,object_biased,punish,object,Our God has punished the prostitute .//She is the one who ruined the earth with her sexual sin .,pronoun
pt/nt/66/nt_6619,object_biased,punish,other,"God has punished the prostitute to pay her back for the death of his servants . ''//These people also said , `` Hallelujah !",other
pt/nt/42/nt_4209,subject_biased,call,subject,Jesus called his twelve apostles together .//He gave them power to heal sicknesses and power to force demons out of people .,pronoun
pt/nt/42/nt_4219,subject_biased,call,subject,So he called ten of his servants together .//He gave a bag of money to each servant .,pronoun
pt/nt/44/nt_4409,subject_biased,call,subject,Then he called the believers and the widows into the room .//He showed them Tabitha ; she was alive !,pronoun
pt/nt/43/nt_4309,subject_biased,call,subject,So the Jewish leaders called the man who had been blind .//They told him to come in again .,pronoun
pt/nt/43/nt_4319,object_biased,carry,other,He carried his own cross to a place called `` The Place of the Skull . ''//-LRB- In Aramaic the name of this place is `` Golgotha . '' -RRB-,other
pt/nt/47/nt_4709,object_biased,love,subject,"God loves those who are happy to give .//And God can give you more blessings than you need , and you will always have plenty of everything .",non pronoun
pt/nt/47/nt_4709,object_biased,praise,other,They will praise him because you are following the message about Christ -- the message you say you believe .//They will praise God because you freely share with them and with all people .,other
pt/nt/47/nt_4709,object_biased,praise,other,"They will praise God because you freely share with them and with all people .//And when they pray , they will wish they could be with you .",other
bn/abc/00/abc_0039,object_biased,like,other,"Palestinians do n't like it .//In Bethlehem , where Christians believe Jesus was born , Christmas plans have been scaled back because of the violence .",other
bn/mnb/00/mnb_0009,object_biased,notice,subject,As the plane was taking off this passenger noticed she did n't see any runway lights .//I used to see the lights going by and I looked out and said it 's pitch black out here .,pronoun
bn/pri/00/pri_0029,subject_biased,call,other,"Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 people dead , almost all of them Palestinian .//Violence has abated somewhat since the deal was struck at Sharm el - Sheikh two days ago , but Arab governments are under pressure from their own citizens to take a tough stance against Israel .",other
bn/cnn/00/cnn_0079,object_biased,carry,other,It will carry the damaged `` USS Cole '' back to the United States .//The October attack on the `` Cole '' killed 17 sailors .,other
nw/wsj/23/wsj_2326,subject_biased,call,other,"President Bush called his attention to the matter during the Italian leader 's visit here last week .//Olivetti has denied that it violated Cocom rules , asserting that the reported shipments were properly licensed by the Italian authorities .",other
nw/wsj/23/wsj_2321,object_biased,fear,subject,"With economic tension between the U.S. and Japan worsening , many Japanese had feared last week 's visit from U.S. Trade Representative Carla Hills .//They expected a new barrage of demands that Japan do something quickly to reduce its trade surplus with the U.S. .",pronoun
nw/wsj/23/wsj_2366,object_biased,value,other,"Across the board , these consumers value quality , buy what they like rather than just what they need , and appreciate products that are distinctive .//Despite their considerable incomes and assets , 40 % of the respondents in the study do n't feel financially secure , and one - fourth do n't feel that they have made it .",other
nw/wsj/23/wsj_2351,subject_biased,call,subject,"When the news broke of an attempted coup in Panama two weeks ago , Sen. Christopher Dodd called the State Department for a briefing .//`` They said , ` follow CNN , ' '' he told reporters .",pronoun
nw/wsj/23/wsj_2369,object_biased,dislike,object,"For instance , Michael dislikes Jackie not because he 's a shrewd Jewish businessman , but because he quits his well - paying job as a salesman in order to become a social worker .//Even more problematic is the incompatibility between sitcom preachiness and Mr. Mason 's comic persona .",pronoun
nw/xinhua/02/chtb_0229,subject_biased,attract,other,"According to Guangdong 's Department of Agriculture statistics , since the mid-80s , Guangdong has attracted more than 1100 improved species of foreign animals and plants , among which more than 300 have been marketed to farmers .//Various regions have introduced more than 30,000 sets of advanced processing equipment and technologies , and expanded agricultural product processing capacity .",other
nw/xinhua/00/chtb_0049,subject_biased,attract,other,"Since the end of 1995 , when the program changed from the appraisal phase into the implementation phase , the three countries : China , Russia and North Korea , have all implemented some infrastructure construction and activities for attracting business and investment , and have initially started bilateral and multilateral cooperation .//Concerned countries and the international societies have also given support to this program .",other
mz/sinorama/10/ectb_1070,object_biased,carry,other,"For the past million years , clouds rolling in on northeasterly monsoon fronts in winter and southwesterly airflows in summer have carried their moisture into the mountain valleys , to slowly condense onto the slopes where the false cypresses grow .//Steeped in this dampness , the flora and fauna of the forest continued an unending cycle of growth and renewal through the changing seasons .",other
bc/cnn/00/cnn_0000,object_biased,notice,other,And Dr. Andy Henry notices something else /.//The airmen have straight teeth /.,other
bc/cnn/00/cnn_0000,object_biased,carry,other,And our young white - haired airman also carried this black comb and some pocket change forty - five cents worth /.//Some of these dimes are in ranging from nineteen thirty - six to nineteen forty - two /.,other
bc/cnn/00/cnn_0000,object_biased,like,other,but one neighborhood does n't like the sales pitch /.//They call him Fitty Cent /.,other
bc/cnn/00/cnn_0000,object_biased,love,other,but suburban kids from coast to coast love the heavy base beat /.//The music sells /.,other
bc/cnn/00/cnn_0000,subject_biased,enrage,other,but its marketing has already enraged people in South Central Los Angeles /.//Since two thousand there have been eight hundred homicides in this community /.,other
bc/cnn/00/cnn_0000,object_biased,love,subject,Daddy I love you /.//I miss you /.,pronoun
bc/cnn/00/cnn_0000,object_biased,carry,subject,Hey Morales you carry anything special with you on missions to help you out /?//Well I carry my wedding ring a bracelet my wife sent me /-,pronoun
bc/cnn/00/cnn_0000,object_biased,carry,other,Well I carry my wedding ring a bracelet my wife sent me /-//I carry a Bible Psalms ninety - one /.,other
bc/cnn/00/cnn_0000,object_biased,love,subject,Daddy I love you /.//I miss you /.,pronoun
bc/cnn/00/cnn_0000,object_biased,love,subject,I loved Princess Diana /.//I do n't care for this new chick in town /.,pronoun
bc/msnbc/00/msnbc_0000,subject_biased,call,other,Anyone with information about their whereabouts should call New York 's a hundred most wanted tipline one eight hundred two six two four three two one and keep in mind that these guys really may be dangerous /.//so /-,other
bc/msnbc/00/msnbc_0000,object_biased,appreciate,other,We appreciate it /.//Alright Erin let me start with you /.,other
bc/msnbc/00/msnbc_0000,subject_biased,infuriate,object,so yes it infuriates me /.//I ca n't understand why we 're so behind in terms of tracking sex offenders /.,pronoun
wb/eng/00/eng_0010,object_biased,like,other,"You do n't like it ?//Too bad , you voted for the moron .",other
wb/eng/00/eng_0010,object_biased,like,other,"I like Edward Abbey 's quote -LRB- and we miss you , Ed -RRB- ://`` freedom begins between your ears . ''",other
wb/eng/00/eng_0000,object_biased,notice,other,"and the Western World does not notice it because its own TV sets are mostly tuned to soap operas and game shows .//I recommend to you , even though most of you do not understand Arabic , to watch Al Jazeera , from time to time .",other
tc/ch/00/ch_0020,subject_biased,call,object,965.04_967.89_B: even they could have called them before Pesach//maybe they would 've changed their minds,pronoun
tc/ch/00/ch_0040,object_biased,like,other,and I do n't like it you know//too many days I 'm working and eating at my desk at about twelve o'clock,other
tc/ch/00/ch_0010,object_biased,love,subject,"and if you 'd like to join me I 'd love it ,//I was also invited to a wedding on the twelfth somewhere near Duesseldorf .",pronoun
tc/ch/00/ch_0030,object_biased,love,other,we love it here .//Well I 'm sure you do .,other
tc/ch/00/ch_0050,object_biased,notice,subject,I noticed that last time I was home//but I do n't eat any either,pronoun
pt/nt/42/nt_4220,object_biased,love,other,I love my son very much .//Maybe the farmers will respect my son . ',other
pt/nt/42/nt_4220,object_biased,respect,subject,"Maybe the farmers will respect my son . '//When the farmers saw the son , they said to each other , ' This is the owner 's son .",pronoun
pt/nt/42/nt_4220,object_biased,punish,other,"God will punish them very much . ''//After this , the Lord chose 72 more followers .",other
pt/nt/44/nt_4410,subject_biased,call,other,"Then Cornelius called two of his servants and a soldier .//The soldier was a religious man , one of his close helpers .",other
pt/nt/43/nt_4310,object_biased,love,object,The Father loves me because I give my life .//I give my life so that I can get it back again .,pronoun
pt/nt/41/nt_4110,object_biased,like,subject,"He did not like his followers telling the children not to come .//So he said to them , `` Let the little children come to me .",pronoun
pt/nt/41/nt_4110,subject_biased,call,subject,"Jesus called all the followers together .//He said , `` The non-Jewish people have men they call rulers .",pronoun
pt/nt/41/nt_4110,subject_biased,call,object,Jesus is calling you . ''//The blind man stood up quickly .,non pronoun
pt/nt/40/nt_4010,subject_biased,call,subject,Jesus called his twelve followers together .//He gave them power over evil spirits and power to heal every kind of disease and sickness .,pronoun
pt/nt/40/nt_4020,subject_biased,call,subject,"So Jesus called the followers together .//He said , `` You know that the rulers of the non-Jewish people love to show their power over the people .",pronoun
bn/voa/01/voa_0100,subject_biased,disappoint,other,"The outcome disappointed Western officials who had hoped the balloting would signal an end to the country 's ethnic divisions .//It 's now official , former star Mario Lemieux is coming out of retirement to play for the National Ice Hockey League team that he owns , the Pittsburgh Penguins .",other
bn/voa/01/voa_0170,subject_biased,telephone,other,President Clinton has telephoned Palestinian leader Yasser Arafat in a bid to restart Israeli - Palestinian peace negotiations .//An Arafat advisor told reporters the two leaders agreed to work together to try to reach an agreement .,other
bn/pri/00/pri_0090,object_biased,thank,subject,"At a photo opportunity in the Oval Office , Bush thanked the President and fended off an interruption from a veteran White House correspondent .//I am humbled and honored , and I ca n't thank the President enough for his hospitality .",pronoun
bn/cnn/04/cnn_0400,subject_biased,captivate,other,"This particular scandal has really captivated Wall Street this month .//Before I tell you how big those parachutes are , let me tell you what the U.S. Treasury Secretary is saying about it now .",other
nw/wsj/00/wsj_0049,subject_biased,call,subject,"On Tuesday , the judge called a news conference to say he was quitting effective Dec. 31 to join a San Francisco law firm .//The reason : the refusal of Congress to give federal judges a raise .",pronoun
nw/wsj/24/wsj_2452,object_biased,sue,other,"The government sued the company in April , seeking $ 23,000 and other unspecified damages related to an alleged contract - steering scheme .//The suit named the company , former chief executive officer William G. Moore Jr. , former vice president Robert W. Reedy and five defendants who were n't part of the company .",other
nw/wsj/24/wsj_2418,object_biased,carry,other,The Justin merchandise carried wholesale prices some 40 % below those of Sony Corp. of Japan 's `` My First Sony '' line .//The visitor waxed enthusiastic and promised to return .,other
nw/wsj/24/wsj_2417,object_biased,carry,other,"As with other plastic in Britain 's high - interest - rate environment , the Labor card , administered by Co-operative Bank , carries a stiff -LRB- in this case , 29.8 % -RRB- annual rate on the unpaid balance .//China 's year - long austerity program has achieved some successes in harnessing runaway economic growth and stabilizing prices but has failed to eliminate serious defects in state planning and an alarming drain on state budgets .",other
nw/xinhua/02/chtb_0250,object_biased,praise,other,"He praised the rapid development of China 's economy , and emphasized the important role that China has taken in world politics and economics .//He also hoped that member countries of the Latin American Unification Association and China would henceforth further strengthen co-operation and exchange in the economy , trade , technology and other areas .",other
nw/xinhua/02/chtb_0200,object_biased,congratulate,other,"After Mingxia Fu won the champion for the women platform diving , the coach of the Soviet Union team congratulated her warmly .//Photo taken by Xinhua News Agency reporter , Zhishan Cheng .",other
nw/xinhua/00/chtb_0020,subject_biased,attract,subject,"The Fenglingdu economic development zone , that people call the ' golden triangle ' of the Yellow River , located at the juncture of three provinces in China - Shanxi , Shaanxi and Henan - increasingly attracts attention from domestic and foreign businessmen and is becoming a new investing hotspot .//The Fenglingdu economic development zone is the only one within the borders of China built on the basis of a small town .",non pronoun
mz/sinorama/10/ectb_1016,subject_biased,attract,other,"Expecting to accept 167 students , they attracted a mere 330 - combined applicants .//Compared to the lukewarm popularity of other graduate programs , management institutes are white hot .",other
mz/sinorama/10/ectb_1016,object_biased,carry,other,"Each year when EMBA program acceptances are released , newspapers carry letters from readers relating how certain national university graduate schools compete to accept CEOs and presidents of listed corporations , or the children of rich business people .//The NTUST student expresses cynicism toward the application and review process , suspecting that "" they just pay attention to company name and job title . """,other
mz/sinorama/10/ectb_1068,object_biased,carry,other,"The majority of these workers are carrying the tremendous burden of being the breadwinner for three generations .//"" The sense of uncertainty about employment has begun to affect every facet of life . """,other
mz/sinorama/10/ectb_1065,object_biased,love,subject,"Mayaw loves documentary films above all else .//While at university , he began making his first four films , "" Spring Sun "" is Our Name : Pangcah Paddlers from Spring - Sun Village ; As Life , As Pangcah ; Children in Heaven and Pangcah Artist : Gi Lahaz .",pronoun
mz/sinorama/10/ectb_1007,subject_biased,call,subject,"However , as Lin grew up , her mother would call her and the other girls to her side to watch and help out .//She said : "" Follow closely , now .",pronoun
mz/sinorama/10/ectb_1024,object_biased,carry,other,"Variously described by the media as a crusader for justice , a hard worker and an incorruptible political figure , Yeh Chu - lan , known as "" mother of the country , "" carries considerable seniority within the DPP .//Her aggressive efforts to shore up the Hakka vote for Chen Shui - bian during the presidential election were also crucial to her appointment as Minister of Transportation and Communications .",other
mz/sinorama/10/ectb_1013,object_biased,carry,subject,"But he carries a heavy burden .//Lien must face up to the fact that his party has been governing in Taiwan for 50 years , and people want change .",non pronoun
mz/sinorama/10/ectb_1032,subject_biased,attract,other,"But their actions also attracted the criticism that this kind of high - decibel display is not in fact helpful for achieving Taiwan 's return to the United Nations .//However , Yang does not subscribe to this view .",other
mz/sinorama/10/ectb_1055,object_biased,like,other,"He does n't like the crowded feeling of the shopping district .//"" When you work out , the atmosphere should be calm , so that you can use different equipment when you need to and your concentration is n't broken by disturbances . """,other
mz/sinorama/10/ectb_1003,object_biased,celebrate,other,"Early in December the China Textile In - stitute , located at Tucheng in Taipei County , celebrated its 40th anniversary with a dynamic multimedia show .//The CTI 's 40 - year history has borne witness to the rise and decline of Taiwan 's textile industry .",other
mz/sinorama/10/ectb_1075,subject_biased,frighten,other,"If the teachers only speak English in class it will frighten children who have never learnt English before .//Some teachers teach too quickly and some of their students ca n't keep up , so all parents can do is send their kids to private language schools .",other
mz/sinorama/10/ectb_1006,object_biased,laugh,other,"He laughs , "" Even though I usually do n't have any interest in watching TV , at that time we tuned in at eight sharp every night , as a kind of moral support . ""//Ko Yu - fen says , however , that times have changed .",other
mz/sinorama/10/ectb_1006,subject_biased,call,other,"Sometimes the producer ca n't call the shots .//Personally , she has always preferred to begin broadcasting only after the entire series has been completed , to ensure quality control .",other
mz/sinorama/10/ectb_1054,object_biased,thank,other,"Hsu Tsang - houei , a major figure in Chinese music who recently passed away , specially thanked Yeh Chin - tai when the CD A Selection of Taiwanese Folk Music was released last November .//Almost all of the musicians on hand for the launch had heard of Yeh , but very few knew that he was the CEO of Ritek , a company worth billions of NT dollars .",other
mz/sinorama/10/ectb_1001,object_biased,notice,other,"As you pass through the offices of the Macau government 's directorate of administration you notice the relative youth of the staff , most of whom seem to be in their thirties .//Rosa Tam , who heads the recruitment and selection division of the directorate 's human resources department , introduces many of her colleagues with the remark that he or she "" studied in Taiwan too . """,other
mz/sinorama/10/ectb_1001,object_biased,notice,other,""" Taiwanese businesspeople never notice these benefits .//All they see is gang violence and assume that law and order has broken down , "" says Chen .",other
mz/sinorama/10/ectb_1001,subject_biased,attract,other,"In recent years , these archives have attracted particular attention from Taiwan scholars , notes Mei , driven by interest in the history of East - West exchanges and the influence of maritime culture on their island//Furthermore , Macau also serves as an academic and cultural key to the world of the Romance languages .",other
mz/sinorama/10/ectb_1027,subject_biased,frighten,object,"The incident frightened her so badly that she would n't let her daughter go back to school .//If that was the case , my wife and I had a serious problem on our hands .",pronoun
mz/sinorama/10/ectb_1027,object_biased,treasure,other,"My wife truly treasures Chien - chien , and was not at all comfortable with the idea of leaving her with someone else .//First , we had no idea what kind of person Martine was .",other
mz/sinorama/10/ectb_1027,subject_biased,call,subject,"When the weather turned cool and Chien - chien came down with a fever , Martine called my wife to offer to keep Chien - chien for the night .//She told my wife that she had been a nurse and that taking Chien - chien home in the cold night air might worsen her chill .",pronoun
bc/cctv/00/cctv_0004,subject_biased,call,subject,"First , when the Mirror got hold of the news , it called 10 Downing Street the first night , saying that it had such information .//Uh-huh , uh-huh .",pronoun
bc/cctv/00/cctv_0004,object_biased,admire,other,"He also quite admired it .//So , in this way , it has borrowed some of the BBC style .",other
bc/cctv/00/cctv_0004,object_biased,sue,object,"Well , will al - Jazeera TV station really sue US President Bush ?//Will US President Bush have any occasion or opportunity to have this matter clarified ?",non pronoun
bc/cctv/00/cctv_0001,object_biased,punish,other,"If you fail to shoot the enemy , I will punish you when you come back .//Do you know lice ?",other
bc/cctv/00/cctv_0003,subject_biased,infuriate,other,"This move at once infuriated Russia .//Accordingly , the date of Putin 's visit to Japan turned into a variable which nobody could explain .",other
bc/cctv/00/cctv_0002,object_biased,respect,other,"He himself , ah , er , what should we say ? He does not respect and acknowledge reality .//Actually , some people say he is deceiving himself as well as others .",other
bc/phoenix/00/phoenix_0002,subject_biased,call,other,"On the morning of the 28th , the National Earthquake Administration called an emergency consultative meeting .//At the meeting , Huang Xiangning read the earthquake prediction that they had previously issued .",other
bc/phoenix/00/phoenix_0002,subject_biased,attract,other,"This attracted the attention of people in the relevant fields .//At 10:30 p.m. , as Huang Xiangning was preparing to return home , he was met by people who led him away from the door of his home , and that night he reported to the country 's leaders on earthquake forecasting .",other
bc/phoenix/00/phoenix_0002,object_biased,admire,object,I really admire this group of CCP members who were at the Lu jiatuo Mine in 1976 .//The CCP members who were at the Lu jiatuo Mine in 1976 were the last to come up .,non pronoun
bc/cnn/00/cnn_0004,object_biased,love,object,and I love him /.//and he 's my favorite personality of all time /.,pronoun
bc/cnn/00/cnn_0004,subject_biased,call,other,And I called her the next morning /.//and we patched the whole thing up /.,other
bc/cnn/00/cnn_0004,object_biased,adore,subject,Well we both adore her /.//We both adore her very well and admire her immensely /.,pronoun
bc/cnn/00/cnn_0004,object_biased,adore,object,We both adore her very well and admire her immensely /.//She 's such a special lady /.,pronoun
bc/cnn/00/cnn_0004,object_biased,like,subject,Both the President and the Vice President they do n't like the press /.//And they particularly do n't like people who might ask uh interesting questions or abrasive questions or whatever /.,pronoun
bc/cnn/00/cnn_0004,object_biased,like,other,And they particularly do n't like people who might ask uh interesting questions or abrasive questions or whatever /.//People do n't know this /.,other
bc/cnn/00/cnn_0004,object_biased,like,other,So I 'd like the two brains that I see in front of me to answer this question to which I 've been unable to find an answer /.//If we truly even for a moment believed that there were weapons of mass destruction why did we send in ground forces /?,other
bc/cnn/00/cnn_0004,object_biased,love,object,And Mike I loved your book /.//It was great /.,pronoun
bc/cnn/00/cnn_0004,object_biased,love,other,And I love Johnny Carson 's line to you /.//I did n't uh steel any tires /-,other
bc/cnn/00/cnn_0001,object_biased,like,subject,They do n't like the bad publicity /.//but they also feel wronged /.,pronoun
bc/cnn/00/cnn_0001,object_biased,love,other,The far right loves the Supreme Court nominee as you might imagine /.//The far left ca n't stand him /.,other
bc/cnn/00/cnn_0001,object_biased,appreciate,subject,and I appreciate your time Lora /.//I want to take a moment to talk about Albert if you do n't mind and just uh remind us about his life /.,pronoun
bc/cnn/00/cnn_0001,object_biased,appreciate,other,I appreciate the opportunity to be able to even speak about Albert /.//He seems to be the forgotten one /.,other
bc/cnn/00/cnn_0001,object_biased,appreciate,other,Lora Owens stepmother of Albert Owens we sure appreciate your time /.//I know this is a difficult uh period for you and your family /.,other
bc/cnn/00/cnn_0001,object_biased,love,other,I 've always loved candy /.//At first it was about the taste /.,other
bc/cnn/00/cnn_0001,object_biased,love,subject,I love gummy bears and gummy fish /.//I just always started to look at candy 's packaging /.,pronoun
bc/cnn/00/cnn_0001,object_biased,love,other,I really loved art and candy /.//Did you like the ones that we were talking about for the malls though /?,other
bc/cnn/00/cnn_0001,object_biased,carry,subject,We do n't just carry candy per se to eat /.//We have a spa product like chocolate bath powders and vanilla body moisturizers /.,pronoun
bc/cnn/00/cnn_0003,object_biased,notice,other,but no one really noticed it was depression /.//nor did I know in those days that that 's what it was /.,other
bc/cnn/00/cnn_0003,subject_biased,call,other,If I 'm out of town and there is a crisis husband number two calls husband number one /.//and I feel that it is a tremendous victory that we have all been able to get together and be healthy /.,other
bc/cnn/00/cnn_0003,subject_biased,call,other,"Um if I were you , because I do n't know that number off hand um you can call the University of Medicine and Dentistry in New Jersey /.//Um oh they would have to know where in New Jersey then /.",other
bc/cnn/00/cnn_0005,subject_biased,worry,other,When my soldiers say to me and ask me the question whether or not they 've got support from the American people or not that worries me /.//and they 're starting to do that /.,other
bc/cnn/00/cnn_0002,object_biased,appreciate,other,Uh guys I appreciate you being on the program tonight /.//You Nathan you were at the school when it all unfolded /.,other
bc/cnn/00/cnn_0002,object_biased,celebrate,other,but democrats will celebrate those two state - wide victories Virginia of course the most significant /.//President Bush carried that state a year ago /.,other
bc/cnn/00/cnn_0002,object_biased,carry,subject,President Bush carried that state a year ago /.//He campaigned for the republican candidate just last night an election eve appearance /.,pronoun
bc/cnn/00/cnn_0002,subject_biased,call,other,You can call us at one eight seven seven six four eight thity - six thirty - nine that 's one eight seven seven six four eight thirty - six thirty - nine or email us by going to our website CNN dot com slash Three Sixty /.//We 'll put your questions to some experts /.,other
bc/cnn/00/cnn_0007,object_biased,guide,subject,He was guiding you /.//but he would n't volunteer information /.,pronoun
bc/cnn/00/cnn_0007,object_biased,love,other,All right well I love the idea of justices spinning you on background at least trying to get their version of the truth out /.//Ah just breifly ah Mark Felt ah we were talking about he 's made his own book and movie deal /.,other
bc/msnbc/00/msnbc_0006,object_biased,like,object,We all do n't like that /.//But it 's part of America /.,pronoun
bc/msnbc/00/msnbc_0006,object_biased,love,subject,And they love this discussion /.//They 're going to love it even more if Congress takes up uh legislation on Guantanamo /.,pronoun
bc/msnbc/00/msnbc_0006,object_biased,like,object,People may not like the Bush administration /.//But they were elected /.,pronoun
bc/msnbc/00/msnbc_0006,object_biased,appreciate,other,You know I heartily appreciate your talking on behalf of all the American people /.//This is classified /-,other
bc/msnbc/00/msnbc_0003,object_biased,like,other,I sort of like him /.//this guy Bolton is no good /.,other
bc/msnbc/00/msnbc_0003,object_biased,like,subject,Do they like us /.//Do they dislike us /.,pronoun
bc/msnbc/00/msnbc_0004,object_biased,respect,subject,Uh I respect these athletes greatly /.//What I needed was one of these athletes who I name in the actual book who are well known uh individuals to come forth and say you know what Jose 's saying is one hundred percent true /.,pronoun
bc/msnbc/00/msnbc_0004,object_biased,respect,subject,And uh so I respect you /.//so let me ask you this though /.,pronoun
bc/msnbc/00/msnbc_0004,object_biased,love,subject,Eh we all love bi-elections because we try to find something in the tea leaves /.//Right /.,pronoun
bc/msnbc/00/msnbc_0004,object_biased,love,object,I love the new gallop poll /.//It just came out today /.,pronoun
bc/msnbc/00/msnbc_0004,object_biased,notice,other,And you notice Joe Biden would like John McCain to run with him /.//I think John McCain 's running for president in the Republican Party /.,other
bc/msnbc/00/msnbc_0001,subject_biased,call,other,and the person who observed them called the police /.//You know so it was a tip to the police /.,other
bc/msnbc/00/msnbc_0001,object_biased,sue,other,Now their families are suing a Minnesota county where he was charged with a different crime /.//Unfortunately I think they 're going to have an uphill battle /.,other
bc/msnbc/00/msnbc_0001,object_biased,fear,other,I fear they do n't have a legal leg to stand on /.//Here 's what we know /.,other
bc/msnbc/00/msnbc_0002,object_biased,appreciate,other,We appreciate it /.//You 're welcome /.,other
bc/msnbc/00/msnbc_0002,object_biased,love,object,My dad loves me /.//and I love him /.,pronoun
bc/msnbc/00/msnbc_0002,object_biased,love,subject,and I love him /.//And I always did /.,pronoun
bc/msnbc/00/msnbc_0002,object_biased,appreciate,subject,I appreciate it /.//All right before I get to Mr. Eckert uh Karen if you can lay out the story for us a little bit /.,pronoun
bc/msnbc/00/msnbc_0002,object_biased,appreciate,other,and I appreciate that /.//And uh there 's another side /.,other
bc/msnbc/00/msnbc_0005,object_biased,like,other,and they do n't like that /.//That 's right /.,other
wb/eng/00/eng_0001,object_biased,love,subject,and I love flesh .//I 'm convinced that things are inhabited with Gremlins .,pronoun
wb/eng/00/eng_0015,object_biased,notice,other,"At an intersection , he noticed a gold car parked by the road ;//suddenly the two men in it leveled guns at him .",other
wb/eng/00/eng_0015,object_biased,notice,object,"Driving in Baghdad a few days later , he noticed a bmw -- the Iraqi gangster 's vehicle of choice -- in his rearview mirror , closing in .//The car forced him off the road ;",non pronoun
wb/eng/00/eng_0004,object_biased,correct,other,I have corrected it .//And that 's a good point about Kaine 's `` gasoline tax . '',other
wb/eng/00/eng_0017,object_biased,notice,other,then he noticed we were parked at the mouth of his drive through car wash and said `` there 's no _way_ i 'm gon na let you use my car wash ! ''//though in the end he proved not to be a complete turd -- as he gave us detailed directions to his competitor 's coin operated self serve / self spray car wash on the other side of town .,other
wb/eng/00/eng_0017,object_biased,like,object,"I liked the girls best .//They were naked to the waist and had the name of the party written across their breasts : UP on the right breast , and GA on the left one .",pronoun
