,index,subject_id,condition,referents,relation,connective,itemID,stimulusID,prompt,text,response,pronominalization,annotated_nm,Annotator1,Annotator2,Final,Annotator1=Annotator2
14,184.0,8772899.0,LIST5,"[""United Nations Secretary General Kofi Annan"",""the host, Egyptian President Hosni Mubarak""]",Result,varied,1.0,5.0,free,"United Nations Secretary General Kofi Annan today discussed plans for the summit with the host, Egyptian President Hosni Mubarak. So",they met up and had a meeting,pro,0.0,F,F,F,True
15,210.0,16516386.0,LIST4,"[""Lehia"",""her mom""]",Result,original,12.0,143.0,free,And Lehia's been with her mom for two months. So,now she has returned to go to school.,pro,0.0,T,T,T,True
16,213.0,16516386.0,LIST4,"[""Patrick Buchanan"",""Richard Rahn, the Chamber's chief economist""]",Result,varied,8.0,30.0,pronoun,"At noon Friday, Patrick Buchanan advised Richard Rahn, the Chamber's chief economist, that the White House would not agree to a budget reconciliation bill unless it had firm assurances that a vote on substance would be permitted in the Senate. Therefore, he",hoped his advice would be headed.,pro,0.0,T,T,T,True
17,235.0,16516386.0,LIST4,"[""John"",""Hector""]",Result,varied,23.0,102.0,pronoun,John had fought against Hector. So he,knew what was coming.,pro,0.0,T,T,T,True
18,249.0,4701919.0,LIST2,"[""Mr. Pamplin"",""Mr. Hahn""]",Occasion,varied,20.0,74.0,pronoun,"In 1975, Mr. Pamplin enticed Mr. Hahn into joining the company as executive vice president in charge of chemicals; the move befuddled many in Georgia-Pacific who didn't believe a university administrator could make the transition to the corporate world. After that, he",was very successful.,pro,1.0,T,T,T,True
19,251.0,4701919.0,LIST2,"[""Senate Majority Leader George Mitchell (D-Maine)"",""the president""]",Contrast,original,10.0,64.0,pronoun,"Senate Majority Leader George Mitchell (D-Maine), who has been the most prominent Democratic critic of Mr. Bush's handling of the Soviet relationship, praised the president for arranging the meeting. But he",did not receive the same respect.,pro,0.0,T,T,T,True
20,252.0,4701919.0,LIST2,"[""Philip"",""Andrew""]",Occasion,original,3.0,43.0,free,Philip went and told Andrew. Then,Andrew told Paul.,non_pro,1.0,T,T,T,True
21,269.0,4701919.0,LIST2,"[""Mr. Papandreou "",""Mr. Makris""]",Contrast,varied,17.0,136.0,pronoun,"For balance, and in hopes of gaining some disaffected centrist votes, Mr. Papandreou managed to attract Mr. Makris, a former New Democracy Party representative and known political enemy of Mr. Mitsotakis. However, he",did not receive what he had hoped.,pro,0.0,T,F,F,False
22,270.0,7430202.0,LIST3,"[""Adam"",""Leo""]",Occasion,varied,11.0,157.0,free,"Adam refused to stop chasing Leo. Shortly afterwards,",he realised he was being unfair and did stop.,pro,0.0,T,T,T,True
23,287.0,7430202.0,LIST3,"[""Christian Hummer"",""Austrian David Kriner who placed second in the ski jump after about one kilometer""]",Occasion,original,2.0,8.0,pronoun,"Christian Hummer overtook Austrian David Kriner who placed second in the ski jump after about one kilometer. Two kilometers later, he",had lost his place!,pro,0.0,T,T,T,True
24,294.0,7430202.0,LIST3,"[""Felix"",""Paul""]",Contrast,varied,16.0,147.0,free,Felix made a sign for Paul to speak. But,he missed his signal.,pro,1.0,T,T,T,True
25,297.0,7430202.0,LIST3,"[""Senoir U.S. official James O'Brien"",""President Vojislav Kostunica""]",Result,original,28.0,132.0,pronoun,"Senior U.S official James O'Brien will hold talks, probably behind closed doors, with President Vojislav Kostunica. So he",can mend relationships.,pro,0.0,T,T,T,True
26,300.0,7747279.0,LIST4,"[""Philip"",""Andrew""]",Contrast,varied,3.0,45.0,free,Philip went and told Andrew. But,he wasn't interested.,pro,1.0,T,T,T,True
27,309.0,7747279.0,LIST4,"[""Senate Majority Leader George Mitchell (D-Maine)"",""the president""]",Result,varied,10.0,66.0,pronoun,"Senate Majority Leader George Mitchell (D-Maine), who has been the most prominent Democratic critic of Mr. Bush's handling of the Soviet relationship, praised the president for arranging the meeting. Therefore, he","changed his mind, yet again.",pro,0.0,T,T,T,True
28,321.0,7747279.0,LIST4,"[""Felix"",""Paul""]",Contrast,varied,16.0,148.0,pronoun,Felix made a sign for Paul to speak. But he,"was looking the wrong way, and missed his cue.",pro,1.0,T,T,T,True
29,322.0,7747279.0,LIST4,"[""Peter"",""Jeffery""]",Contrast,original,26.0,117.0,free,Peter criticized Jeffery for saying these things. But,he knew he was right.,pro,0.0,T,T,T,True
30,329.0,7747279.0,LIST4,"[""United Nations Secretary General Kofi Annan"",""the host, Egyptian President Hosni Mubarak""]",Contrast,varied,1.0,4.0,pronoun,"United Nations Secretary General Kofi Annan today discussed plans for the summit with the host, Egyptian President Hosni Mubarak. However, he",didn't expect quite so much hostility.,pro,0.0,T,T,T,True
31,335.0,7506125.0,LIST2,"[""United Nations Secretary General Kofi Annan"",""the host, Egyptian President Hosni Mubarak""]",Occasion,original,1.0,2.0,pronoun,"United Nations Secretary General Kofi Annan today discussed plans for the summit with the host, Egyptian President Hosni Mubarak. Afterwards, he",took questions from the world's press.,pro,0.0,T,T,T,True
32,337.0,7506125.0,LIST2,"[""The Iran - Contra judge Harold H. Greene"",""Mr. Poindexter""]",Result,varied,29.0,90.0,pronoun,"The Iran-Contra judge Harold H. Greene agreed to allow Mr. Poindexter to subpoena the personal papers of ex-President Reagan, ruling that there was sufficient evidence that the data would be important to the defense. So he",ruled in favour of Mr. Poindexter.,pro,0.0,T,T,T,True
33,369.0,11146272.0,LIST1,"[""David"",""Saul""]",Contrast,original,15.0,135.0,pronoun,David was moving as quickly as possible to get away from Saul. But he,fell over,pro,0.0,T,T,T,True
34,371.0,11146272.0,LIST1,"[""Jose"",""Peter""]",Occasion,varied,24.0,140.0,pronoun,"Jose gave the silver and the gold to Peter. After that, he",gave hte bronze to David,pro,0.0,T,T,T,True
35,405.0,11494083.0,LIST3,"[""Charles"",""Thomas""]",Result,varied,7.0,60.0,pronoun,"Charles got up, left everything, and followed Thomas. So he",ran out the door.,pro,0.0,T,F,T,False
36,430.0,931824.0,LIST3,"[""Adam"",""Leo""]",Occasion,varied,11.0,157.0,free,"Adam refused to stop chasing Leo. Shortly afterwards,",he fell and hurt his leg.,pro,0.0,T,T,T,True
37,441.0,931824.0,LIST3,"[""Charles"",""Thomas""]",Result,varied,7.0,60.0,pronoun,"Charles got up, left everything, and followed Thomas. So he",could talk things through with him.,pro,0.0,T,T,T,True
38,457.0,10445894.0,LIST6,"[""Joseph"",""Nicolas""]",Contrast,varied,6.0,124.0,pronoun,Joseph served Nicolas for three years. But he,was glad to be leaving,pro,0.0,T,T,T,True
39,465.0,10445894.0,LIST6,"[""President Clinton"",""the Crown Prince""]",Contrast,varied,27.0,160.0,pronoun,"President Clinton at that meeting did press the Crown Prince to cooperate with the FBI. However, he",didnt press it further,pro,0.0,T,T,T,True
40,488.0,10041626.0,LIST5,"[""Joseph"",""Nicolas""]",Contrast,varied,6.0,51.0,free,Joseph served Nicolas for three years. But,then he decided to resign and spend time with his family instead.,pro,0.0,T,T,T,True
41,489.0,10041626.0,LIST5,"[""Christian Hummer"",""Austrian David Kriner who placed second in the ski jump after about one kilometer""]",Contrast,varied,2.0,10.0,pronoun,"Christian Hummer overtook Austrian David Kriner who placed second in the ski jump after about one kilometer. However, he",fell on landing and badly hurt his left leg.,pro,0.0,T,T,T,True
42,493.0,10041626.0,LIST5,"[""Mr. Brady"",""Mr. Mullins""]",Occasion,original,5.0,20.0,pronoun,"Mr. Brady was quickly on the phone with Mr. Mullins, who in turn was talking with the chairmen of the New York and Chicago exchanges. Later, he",confirmed his position with them both by phone.,pro,0.0,T,T,T,True
43,495.0,10041626.0,LIST5,"[""Philip"",""Andrew""]",Contrast,varied,3.0,46.0,pronoun,Philip went and told Andrew. But he,regretted it the moment he had done it.,pro,0.0,T,T,T,True
44,531.0,10150005.0,LIST4,"[""David"",""Leo""]",Result,original,14.0,174.0,pronoun,David had just let Leo leave in peace. So he,wouldnt do any more uprises,pro,1.0,T,T,T,True
45,533.0,10150005.0,LIST4,"[""United Nations Secretary General Kofi Annan"",""the host, Egyptian President Hosni Mubarak""]",Contrast,varied,1.0,4.0,pronoun,"United Nations Secretary General Kofi Annan today discussed plans for the summit with the host, Egyptian President Hosni Mubarak. However, he",decided not to attend,pro,1.0,F,T,T,False
46,583.0,124312.0,LIST1,"[""David"",""Saul""]",Contrast,original,15.0,135.0,pronoun,David was moving as quickly as possible to get away from Saul. But he,couldn't quite get there.,pro,0.0,T,T,T,True
47,600.0,14360534.0,LIST4,"[""Philip"",""Andrew""]",Contrast,varied,3.0,45.0,free,Philip went and told Andrew. But,he didnt understand,pro,1.0,T,T,T,True
48,620.0,14360534.0,LIST4,"[""President Hu Jintao"",""Canadian Prime Minister Stephen Harper""]",Contrast,original,18.0,81.0,free,"Fortunately President Hu Jintao was magnanimous enough not to take it to heart, and gave Canadian Prime Minister Stephen Harper the honor of a 15-minute meeting. However,",he didnt attend.,pro,1.0,T,T,T,True
49,625.0,14360534.0,LIST4,"[""Patrick Buchanan"",""Richard Rahn, the Chamber's chief economist""]",Result,varied,8.0,30.0,pronoun,"At noon Friday, Patrick Buchanan advised Richard Rahn, the Chamber's chief economist, that the White House would not agree to a budget reconciliation bill unless it had firm assurances that a vote on substance would be permitted in the Senate. Therefore, he",wait.,pro,0.0,F,F,F,True
50,634.0,5452299.0,LIST3,"[""President Clinton"",""the Crown Prince""]",Occasion,varied,27.0,121.0,free,"President Clinton at that meeting did press the Crown Prince to cooperate with the FBI. Later,",the Crown Prince said that he would explain exactly what had happened.,non_pro,1.0,T,T,T,True
51,643.0,5452299.0,LIST3,"[""Christian Hummer"",""Austrian David Kriner who placed second in the ski jump after about one kilometer""]",Occasion,original,2.0,8.0,pronoun,"Christian Hummer overtook Austrian David Kriner who placed second in the ski jump after about one kilometer. Two kilometers later, he",won the ski jumping competition.,pro,0.0,T,T,T,True
52,655.0,5452299.0,LIST3,"[""Senoir U.S. official James O'Brien"",""President Vojislav Kostunica""]",Result,original,28.0,132.0,pronoun,"Senior U.S official James O'Brien will hold talks, probably behind closed doors, with President Vojislav Kostunica. So he",told the assmbled media that he would address them after the talks.,pro,0.0,T,T,T,True
53,660.0,983598.0,LIST3,"[""President Clinton"",""the Crown Prince""]",Occasion,varied,27.0,121.0,free,"President Clinton at that meeting did press the Crown Prince to cooperate with the FBI. Later,",he did,pro,0.0,F,F,F,True
54,673.0,983598.0,LIST3,"[""Jose"",""Pater""]",Contrast,original,24.0,106.0,pronoun,Jose gave the silver and the gold to Peter. But he,wouldnt accept it,pro,1.0,T,T,T,True
55,680.0,983598.0,LIST3,"[""United Nations Secretary General Kofi Annan"",""the host, Egyptian President Hosni Mubarak""]",Contrast,varied,1.0,3.0,free,"United Nations Secretary General Kofi Annan today discussed plans for the summit with the host, Egyptian President Hosni Mubarak. However,",they fell through,pro,1.0,F,F,F,True
56,689.0,983598.0,LIST3,"[""President Hu Jintao"",""Canadian Prime Minister Stephen Harper""]",Occasion,varied,18.0,80.0,pronoun,"Fortunately President Hu Jintao was magnanimous enough not to take it to heart, and gave Canadian Prime Minister Stephen Harper the honor of a 15-minute meeting. After that, he",expressed wishes not to speak to him again,pro,0.0,T,T,T,True
57,714.0,14200474.0,LIST2,"[""David"",""the man who kept supplies""]",Contrast,varied,9.0,33.0,free,David left the food with the man who kept supplies. But,he forgot his wallet.,pro,0.0,T,T,T,True
58,733.0,8052275.0,LIST6,"[""Joseph"",""Nicolas""]",Contrast,varied,6.0,124.0,pronoun,Joseph served Nicolas for three years. But he,Moved to another firm,pro,0.0,T,T,T,True
59,739.0,8052275.0,LIST6,"[""Mark Felt"",""the acting FBI director Al Patrick Grey.""]",Contrast,varied,4.0,93.0,pronoun,"Mark Felt sends this memo to the acting FBI director Al Patrick Grey. However, he",Needs to meet with him personally,pro,0.0,T,T,T,True
60,793.0,9349038.0,LIST5,"[""Jose"",""Peter""]",Result,varied,24.0,108.0,pronoun,Jose gave the silver and the gold to Peter. So he,was first and second in the race,pro,1.0,T,T,T,True
61,811.0,15347327.0,LIST6,"[""Mr. Pamplin"",""Mr. Hahn""]",Result,varied,20.0,119.0,pronoun,"In 1975, Mr. Pamplin enticed Mr. Hahn into joining the company as executive vice president in charge of chemicals; the move befuddled many in Georgia-Pacific who didn't believe a university administrator could make the transition to the corporate world. So he",felt a strong sense of achievement.,pro,0.0,T,T,T,True
62,832.0,15347327.0,LIST6,"[""William"",""Saul""]",Result,original,30.0,78.0,free,William was afraid and refused to kill Saul. So,he fled instead.,pro,0.0,T,T,T,True
63,834.0,15347327.0,LIST6,"[""Benjamin Netanyahu"",""Ehud Barak""]",Occasion,varied,13.0,31.0,free,"Benjamin Netanyahu has recently moved ahead of Ehud Barak in popularity polls. Afterwards,",he wanted to maintain this lead.,pro,0.0,T,T,T,True
64,845.0,1883200.0,LIST2,"[""Mr. Pamplin"",""Mr. Hahn""]",Occasion,varied,20.0,74.0,pronoun,"In 1975, Mr. Pamplin enticed Mr. Hahn into joining the company as executive vice president in charge of chemicals; the move befuddled many in Georgia-Pacific who didn't believe a university administrator could make the transition to the corporate world. After that, he",proved them wrong,pro,0.0,T,F,F,False
65,847.0,1883200.0,LIST2,"[""President Clinton"",""the Crown Prince""]",Result,original,27.0,126.0,pronoun,President Clinton at that meeting did press the Crown Prince to cooperate with the FBI. So he,could get the truth,pro,0.0,T,T,T,True
66,848.0,1883200.0,LIST2,"[""Mr. Brady"",""Mr. Mullins""]",Result,varied,5.0,23.0,free,"Mr. Brady was quickly on the phone with Mr. Mullins, who in turn was talking with the chairmen of the New York and Chicago exchanges. So",he could fill her in,pro,0.0,T,T,T,True
67,851.0,1883200.0,LIST2,"[""Mark Felt"",""the acting FBI director Al Patrick Grey.""]",Result,varied,4.0,18.0,pronoun,"Mark Felt sends this memo to the acting FBI director Al Patrick Grey. As a result, he",felt accomplished,pro,0.0,T,T,T,True
68,877.0,16478030.0,LIST6,"[""The Iran - Contra judge Harold H. Greene"",""Mr. Poindexter""]",Contrast,original,29.0,129.0,pronoun,"The Iran-Contra judge Harold H. Greene agreed to allow Mr. Poindexter to subpoena the personal papers of ex-President Reagan, ruling that there was sufficient evidence that the data would be important to the defense. But he",inststed that non relevant data should be redacted.,pro,0.0,T,T,T,True
69,882.0,16478030.0,LIST6,"[""Jose"",""Peter""]",Occasion,varied,24.0,62.0,free,"Jose gave the silver and the gold to Peter. After that,",he gave the bronze to Paul.,pro,0.0,T,T,T,True
70,888.0,16478030.0,LIST6,"[""Charles"",""Thomas""]",Contrast,varied,7.0,21.0,free,"Charles got up, left everything, and followed Thomas. However,",Thomas was only going to the toilet.,non_pro,1.0,T,T,T,True
71,896.0,16478030.0,LIST6,"[""Benjamin Netanyahu"",""Ehud Barak""]",Occasion,varied,13.0,31.0,free,"Benjamin Netanyahu has recently moved ahead of Ehud Barak in popularity polls. Afterwards,",he thanked his supporters.,pro,0.0,T,T,T,True
72,903.0,2876904.0,LIST6,"[""Felix"",""Paul""]",Result,original,16.0,155.0,pronoun,Felix made a sign for Paul to speak. So he,Started to talk.,pro,1.0,T,T,T,True
73,924.0,2876904.0,LIST6,"[""John"",""the man""]",Contrast,varied,22.0,88.0,free,John felt sorry for the man. But,He was unable to help.,pro,0.0,T,T,T,True
74,951.0,11590868.0,LIST2,"[""Adam"",""Leo""]",Result,original,11.0,162.0,pronoun,Adam refused to stop chasing Leo. So he,gave chase at a faster speed.,pro,0.0,T,T,T,True
75,972.0,9711183.0,LIST3,"[""Jack"",""another man""]",Contrast,original,21.0,111.0,free,"Jack said to another man, ""Follow me!"" But",the man didn't,non_pro,0.0,T,F,F,False
76,986.0,9711183.0,LIST3,"[""Peter"",""Charlie""]",Contrast,varied,25.0,39.0,free,"Peter continued talking with Charlie. However,",Charlie was boring,non_pro,1.0,T,T,T,True
77,989.0,9711183.0,LIST3,"[""John"",""the man""]",Result,original,22.0,168.0,pronoun,John felt sorry for the man. So he,gave him a coffee,pro,1.0,F,F,F,True
78,1003.0,5277332.0,LIST5,"[""Hailey"",""her daughter""]",Result,original,19.0,180.0,pronoun,Hailey told her daughter what to ask for. So she,was prepared.,pro,1.0,T,T,T,True
79,1049.0,5337277.0,LIST3,"[""Benjamin Netanyahu"",""Ehud Barak""]",Contrast,original,13.0,70.0,pronoun,"Benjamin Netanyahu has recently moved ahead of Ehud Barak in popularity polls. However, he",is very unpopular.,pro,0.0,T,T,T,True
80,1055.0,15173537.0,LIST3,"[""Peter"",""Jeffery""]",Occasion,varied,26.0,116.0,pronoun,Peter criticized Jeffery for saying these things. Then he,apologised for being too critical.,pro,0.0,T,T,T,True
81,1067.0,15173537.0,LIST3,"[""Jose"",""Peter""]",Contrast,original,24.0,106.0,pronoun,Jose gave the silver and the gold to Peter. But he,had made a mistake which is would later regret.,pro,0.0,T,T,T,True
82,1073.0,15173537.0,LIST3,"[""David"",""the man who kept supplies""]",Contrast,varied,9.0,34.0,pronoun,"David left the food with the man who kept supplies. However, he",felt really hungry.,pro,0.0,T,T,T,True
83,1095.0,14089229.0,LIST2,"[""Mark Felt"",""the acting FBI director Al Patrick Grey.""]",Result,varied,4.0,18.0,pronoun,"Mark Felt sends this memo to the acting FBI director Al Patrick Grey. As a result, he",gets a promotion,pro,0.0,T,T,T,True
84,1129.0,607628.0,LIST4,"[""Jack"",""another man""]",Contrast,original,21.0,112.0,pronoun,"Jack said to another man, ""Follow me!"" But he",refused as he had other plans.,pro,0.0,F,F,F,True
85,1165.0,5994572.0,LIST6,"[""Mr. Papandreou "",""Mr. Makris""]",Occasion,varied,17.0,170.0,pronoun,"For balance, and in hopes of gaining some disaffected centrist votes, Mr. Papandreou managed to attract Mr. Makris, a former New Democracy Party representative and known political enemy of Mr. Mitsotakis. After that, he",was more confident.,pro,0.0,T,T,T,True
86,1223.0,4793005.0,LIST6,"[""Mark Felt"",""the acting FBI director Al Patrick Grey.""]",Contrast,varied,4.0,93.0,pronoun,"Mark Felt sends this memo to the acting FBI director Al Patrick Grey. However, he",forgot to sign it as secret,pro,0.0,T,T,T,True
87,1257.0,14475677.0,LIST3,"[""Lehia"",""her mom""]",Contrast,varied,12.0,142.0,pronoun,"And Lehia's been with her mom for two months. However, she","still is wary of how they 'gel' together, many years have past and they have formed their own lives",pro,0.0,T,T,T,True
88,1260.0,9409789.0,LIST3,"[""The Iran - Contra judge Harold H. Greene"",""Mr. Poindexter""]",Occasion,varied,29.0,85.0,free,"The Iran-Contra judge Harold H. Greene agreed to allow Mr. Poindexter to subpoena the personal papers of ex-President Reagan, ruling that there was sufficient evidence that the data would be important to the defense. And then",he closed the case.,pro,0.0,T,T,T,True
89,1280.0,9409789.0,LIST3,"[""Joseph"",""Nicolas""]",Occasion,original,6.0,49.0,free,Joseph served Nicolas for three years. Then,he left to work for himself.,pro,0.0,T,T,T,True
90,1281.0,9409789.0,LIST3,"[""President Hu Jintao"",""Canadian Prime Minister Stephen Harper""]",Occasion,varied,18.0,80.0,pronoun,"Fortunately President Hu Jintao was magnanimous enough not to take it to heart, and gave Canadian Prime Minister Stephen Harper the honor of a 15-minute meeting. After that, he",left the country quickly.,pro,0.0,T,T,T,True
91,1321.0,7764024.0,LIST1,"[""Peter"",""Jeffery""]",Result,varied,26.0,156.0,pronoun,Peter criticized Jeffery for saying these things. So he,felt justified for his actions,pro,0.0,T,T,T,True
92,1349.0,7764024.0,LIST1,"[""David"",""the man who kept supplies""]",Occasion,original,9.0,104.0,pronoun,David left the food with the man who kept supplies. Then he,disappeared over the horizon,pro,0.0,T,T,T,True
93,1361.0,11340110.0,LIST1,"[""Philip"",""Andrew""]",Result,varied,3.0,120.0,pronoun,Philip went and told Andrew. So he,had back up,pro,0.0,T,T,T,True
94,1374.0,11340110.0,LIST1,"[""Jack"",""another man""]",Occasion,varied,21.0,68.0,free,"Jack said to another man, ""Follow me!"" After that,",the man followed him,non_pro,1.0,T,T,T,True
95,1380.0,4815979.0,LIST3,"[""Peter"",""Charlie""]",Contrast,varied,25.0,39.0,free,"Peter continued talking with Charlie. However,",Charlie was visually distraught and couldnt concentrate,non_pro,1.0,T,T,T,True
96,1412.0,4487598.0,LIST1,"[""Adam"",""Leo""]",Result,original,11.0,84.0,free,Adam refused to stop chasing Leo. So,Leo had to hide from him.,non_pro,1.0,T,T,T,True
97,1417.0,4487598.0,LIST1,"[""William"",""Saul""]",Result,original,30.0,161.0,pronoun,William was afraid and refused to kill Saul. So he,ran away,pro,1.0,T,T,T,True
98,1419.0,4487598.0,LIST1,"[""Hailey"",""her daughter""]",Occasion,varied,19.0,176.0,pronoun,"Hailey told her daughter what to ask for. After that, she",went shopping by herself.,pro,1.0,T,T,T,True
99,1424.0,4487598.0,LIST1,"[""Senate Majority Leader George Mitchell (D-Maine)"",""the president""]",Contrast,original,10.0,27.0,free,"Senate Majority Leader George Mitchell (D-Maine), who has been the most prominent Democratic critic of Mr. Bush 's handling of the Soviet relationship, praised the president for arranging the meeting. But",he was not confident it would make any progress.,pro,0.0,T,T,T,True
100,1427.0,4487598.0,LIST1,"[""Benjamin Netanyahu"",""Ehud Barak""]",Occasion,varied,13.0,109.0,pronoun,"Benjamin Netanyahu has recently moved ahead of Ehud Barak in popularity polls. Afterwards, he",thanked his team.,pro,0.0,T,T,T,True
101,1429.0,4487598.0,LIST1,"[""Christian Hummer"",""Austrian David Kriner who placed second in the ski jump after about one kilometer""]",Result,varied,2.0,89.0,pronoun,"Christian Hummer overtook Austrian David Kriner who placed second in the ski jump after about one kilometer. Therefore, he",won.,pro,0.0,T,T,T,True
102,1431.0,4487598.0,LIST1,"[""Philip"",""Andrew""]",Result,varied,3.0,120.0,pronoun,Philip went and told Andrew. So he,was upset.,pro,1.0,T,T,T,True
103,1454.0,12506341.0,LIST5,"[""David"",""Leo""]",Occasion,varied,14.0,169.0,free,"David had just let Leo leave in peace. Next,",he started following him,pro,0.0,T,T,T,True
104,1455.0,12506341.0,LIST5,"[""Christian Hummer"",""Austrian David Kriner who placed second in the ski jump after about one kilometer""]",Contrast,varied,2.0,10.0,pronoun,"Christian Hummer overtook Austrian David Kriner who placed second in the ski jump after about one kilometer. However, he",didnt get gold,pro,0.0,T,T,T,True
105,1496.0,6304420.0,LIST2,"[""Jose"",""Peter""]",Contrast,original,24.0,105.0,free,Jose gave the silver and the gold to Peter. But,he kept the diamonds for himself.,pro,0.0,T,T,T,True
106,1511.0,6739326.0,LIST5,"[""Benjamin Netanyahu"",""Ehud Barak""]",Result,varied,13.0,72.0,pronoun,"Benjamin Netanyahu has recently moved ahead of Ehud Barak in popularity polls. As a result, he",was ahead in the leadership race,pro,0.0,T,T,T,True
107,1517.0,6739326.0,LIST5,"[""Senoir U.S. official James O'Brien"",""President Vojislav Kostunica""]",Occasion,varied,28.0,128.0,pronoun,"Senior U.S official James O'Brien will hold talks, probably behind closed doors, with President Vojislav Kostunica. After that, he",hopes to improve US relations abroad,pro,0.0,T,T,T,True
108,1573.0,5449709.0,LIST2,"[""Mr. Papandreou "",""Mr. Makris""]",Contrast,varied,17.0,136.0,pronoun,"For balance, and in hopes of gaining some disaffected centrist votes, Mr. Papandreou managed to attract Mr. Makris, a former New Democracy Party representative and known political enemy of Mr. Mitsotakis. However, he",still did not trust him,pro,0.0,T,T,T,True
109,1586.0,5449709.0,LIST2,"[""Hailey"",""her daughter""]",Contrast,varied,19.0,177.0,free,"Hailey told her daughter what to ask for. However,",she refused to do so,pro,1.0,T,T,T,True
110,1593.0,16025475.0,LIST2,"[""Mr. Papandreou "",""Mr. Makris""]",Contrast,varied,17.0,136.0,pronoun,"For balance, and in hopes of gaining some disaffected centrist votes, Mr. Papandreou managed to attract Mr. Makris, a former New Democracy Party representative and known political enemy of Mr. Mitsotakis. However, he",had to offer significant concessions.,pro,0.0,T,T,T,True
111,1615.0,16025475.0,LIST2,"[""United Nations Secretary General Kofi Annan"",""the host, Egyptian President Hosni Mubarak""]",Occasion,original,1.0,2.0,pronoun,"United Nations Secretary General Kofi Annan today discussed plans for the summit with the host, Egyptian President Hosni Mubarak. Afterwards, he",held a gala dinner.,pro,0.0,T,T,T,True
112,1617.0,16025475.0,LIST2,"[""Adam"",""Leo""]",Result,original,11.0,162.0,pronoun,Adam refused to stop chasing Leo. So he,pushed him away.,pro,0.0,F,F,F,True
113,1633.0,11215948.0,LIST5,"[""Jose"",""Peter""]",Result,varied,24.0,108.0,pronoun,Jose gave the silver and the gold to Peter. So he,made it into a bracelet for her,pro,1.0,T,T,T,True
